time_key,col,auc,n
201601,hist_rate_grade,0.7213947136295271,8316
201602,hist_rate_grade,0.7027447752043005,10254
201603,hist_rate_grade,0.6991609419096569,14575
201604,hist_rate_grade,0.669703026942394,7093
201605,hist_rate_grade,0.6795652551508004,5261
201606,hist_rate_grade,0.6656885679406847,6098
201607,hist_rate_grade,0.660608942529323,6453
201608,hist_rate_grade,0.6561054351360013,6697
201609,hist_rate_grade,0.6743044842251313,5029
201610,hist_rate_grade,0.6649453579825775,5582
201611,hist_rate_grade,0.6465228830925696,5713
201612,hist_rate_grade,0.6648337782376552,5890
201701,hist_rate_grade,0.6705771566130402,4876
201702,hist_rate_grade,0.6735383599607322,4060
201703,hist_rate_grade,0.6670668305865675,4988
201704,hist_rate_grade,0.6787256336173793,3881
201705,hist_rate_grade,0.6566419344439084,4871
201706,hist_rate_grade,0.6626204332102805,4553
201707,hist_rate_grade,0.66826245593526,4366
201708,hist_rate_grade,0.6612676340519053,4610
201709,hist_rate_grade,0.678113338161878,3963
201710,hist_rate_grade,0.690953029120949,3576
201711,hist_rate_grade,0.6731614414120602,3636
201712,hist_rate_grade,0.6775443003839249,2909
201801,hist_rate_grade,0.702450831419867,2629
201802,hist_rate_grade,0.6760813645525712,2057
201803,hist_rate_grade,0.657219235713451,2118
201804,hist_rate_grade,0.679708063021316,2050
201805,hist_rate_grade,0.6672129057942673,1979
201806,hist_rate_grade,0.6907590214732646,1456
201807,hist_rate_grade,0.6738489638437528,1282
201808,hist_rate_grade,0.6965525273701374,1044
201809,hist_rate_grade,0.6882879982831698,711
201810,hist_rate_grade,0.5989204117499373,597
201811,hist_rate_grade,0.5111580925534414,482
201812,hist_rate_grade,0.34074074074074073,356
201601,hist_rate_postCode_cat,0.5442118069458521,8316
201602,hist_rate_postCode_cat,0.5330050160744362,10254
201603,hist_rate_postCode_cat,0.5354495389699319,14575
201604,hist_rate_postCode_cat,0.5441829713095476,7093
201605,hist_rate_postCode_cat,0.5288404194888784,5261
201606,hist_rate_postCode_cat,0.5477297753245955,6098
201607,hist_rate_postCode_cat,0.5402720452864678,6453
201608,hist_rate_postCode_cat,0.537776440649026,6697
201609,hist_rate_postCode_cat,0.5470195967398928,5029
201610,hist_rate_postCode_cat,0.5343474969393016,5582
201611,hist_rate_postCode_cat,0.5463403917996981,5713
201612,hist_rate_postCode_cat,0.5248101312682188,5890
201701,hist_rate_postCode_cat,0.5226403213877825,4876
201702,hist_rate_postCode_cat,0.557609876028391,4060
201703,hist_rate_postCode_cat,0.5402212918660287,4988
201704,hist_rate_postCode_cat,0.5470963317851004,3881
201705,hist_rate_postCode_cat,0.5273125922250905,4871
201706,hist_rate_postCode_cat,0.5292050199087582,4553
201707,hist_rate_postCode_cat,0.5526049737650545,4366
201708,hist_rate_postCode_cat,0.5391418008513598,4610
